trip_id,route_num,date,stop_0,time_at_stop_0,time_from_stop_0_to_stop_1,stop_1,time_at_stop_1,time_from_stop_1_to_stop_2,stop_2,time_at_stop_2,time_from_stop_2_to_stop_3,stop_3,time_at_stop_3,time_from_stop_3_to_stop_4,stop_4,time_at_stop_4,,,2.610784314,3.065686275,2.025,3.285416667
180209,19,6/21/22,2375,12,137,2670,32,196,2674,56,104,2676,16,202,2376,8,,,,,,
180209,19,6/22/22,2375,12,145,2670,16,188,2674,304,124,2676,52,284,2376,12,,,,,,
180209,19,6/23/22,2375,12,150,2670,36,220,2674,224,148,2676,60,274,2376,36,,,,,,
180209,19,6/24/22,2375,12,193,2670,20,296,2674,48,152,2676,128,271,2376,28,,,,,,
180209,19,6/27/22,2375,12,148,2670,16,212,2674,224,168,2676,120,300,2376,8,,,,,,
180209,19,6/28/22,2375,12,143,2670,36,236,2674,164,144,2676,68,299,2376,12,,,,,,
180209,19,6/29/22,2375,12,155,2670,17,243,2674,181,142,2676,52,292,2376,47,,,,,,
180209,19,6/30/22,2375,36,156,2670,20,200,2674,84,152,2676,68,308,2376,32,,,,,,
180209,19,7/1/22,2375,16,151,2670,44,192,2674,64,124,2676,60,240,2376,36,,,,,,
190407,19,6/21/22,2375,36,163,2670,60,260,2674,284,172,2676,68,286,2376,56,,,,,,
190407,19,6/23/22,2375,12,176,2670,20,236,2674,52,124,2676,60,242,2376,32,,,,,,
190407,19,6/24/22,2375,36,156,2670,48,268,2674,60,156,2676,40,260,2376,64,,,,,,
190407,19,6/27/22,2375,32,175,2670,24,266,2674,68,487,2376,32,,,,,,,,,
190407,19,6/28/22,2375,40,160,2670,57,257,2674,83,179,2676,64,269,2376,49,,,,,,
190407,19,6/29/22,2375,12,136,2670,52,248,2674,112,164,2676,64,240,2376,8,,,,,,
190407,19,6/30/22,2375,16,184,2670,16,236,2674,116,148,2676,60,263,2376,8,,,,,,
190407,19,7/1/22,2375,16,147,2670,20,248,2674,28,164,2676,56,230,2376,40,,,,,,
190309,19,6/21/22,2375,12,134,2670,20,232,2674,36,128,2676,32,190,2376,32,,,,,,
190309,19,6/22/22,2375,12,148,2670,20,216,2674,40,144,2676,40,214,2376,36,,,,,,
190309,19,6/23/22,2375,12,140,2670,44,196,2674,60,120,2676,56,204,2376,36,,,,,,
190309,19,6/24/22,2375,80,157,2670,44,248,2674,48,152,2676,52,224,2376,44,,,,,,
190309,19,6/27/22,2375,20,184,2670,20,280,2674,44,148,2676,48,235,2376,40,,,,,,
